"Fav","CPID","Payer Name","Eligibility RealtimePayer ID","Payer ID","Portal Avail","Claim Type","State","Connectivity Available (CS, E)","2nd Level Auth (CS, E)","Enrollment Required","2nd CL","C","R","E","CS","A","ARS","AR","Paper CPID","Claim Status Payer ID","Claim Status Portal ID","Eligibility Portal ID","Claim Insurance Type","Claim Surcharge Amount","Attachment Type","Attachment Delivery Method","CS Transmission Type","Must Submit Claims to CH","Remit Pass-through Fee"
"No","6059","UFCW LOCAL 1000 AND KROGER DALLAS HEALTH & WELFARE","","11856","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6060","EVERPOINT","","32052","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6061","LAKESIDE COMPREHENSIVE HEALTHCARE","","66127","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6062","PROFFESSIONAL HEALTH CARE NETWORK (PHCN)","","26748","","Institutional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6063","UNIVERSAL HEALTHCARE IPA","","UHIPA","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6064","AMERICAN HEALTH ADVANTAGE OF TENNESSEE","","31130","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6065","COMMONWEALTH CARE ALLIANCE- MEDICARE ADVANTAGE","","14316","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6067","THE OAKS PACE","","57034","","Institutional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6068","GLOBAL HEALTH ARIZONA","","GHAZ0","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6069","KOAN RISK MANAGEMENT","","65871","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6070","GLOBAL HEALTH TEXAS","","GHTX0","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6072","PEF CLINIC","","PEF01","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6073","ADMIN DE COMPENSACIONES POR ACCIDENTES AUTO - ACAA","","ACAA","","Institutional","","N/A, N/A","N/A, N/A","C","No","Yes","No","No","No","No","No","No","4350","","","","Workers Compensation","",,"",,"No",""
"No","6074","PROVIDER PARTNERS HEALTH PLAN OF OHIO","","31402","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6076","ILWU-PMA BENEFIT PLANS","","89677","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6078","GBG GLOBAL BENEFITS GROUP","","68251","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6079","ONE CALL EQUIPMENT AND DEVICES","","80019","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6080","ETERNALHEALTH","","RP037","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6081","COPATIENT","","COPAT\t","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6082","SANDHILLS TAILORED HEALTH PLAN BEHAVIORAL HEALTH","","SHC00","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","","","","","Commercial/HMO","",,"",,"No",""
"No","6083","CURAECHOICE","","CC304","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6089","ALIGN SENIOR CARE OF FLORIDA","","ASFL1","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6090","LONGEVITY HEALTH PLAN OF NORTH CAROLINA","","LNC01","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6092","AMERICAN BENEFIT CORPORATION","","RP038","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6093","SIMPRA ADVANTAGE INC.","","SIM01","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6094","SCHS ALTA GLOBAL CARE MEDICAL GROUP","","MPM54","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No","0.0045"
"No","6095","PHYSICIANS CARE NETWORK (ROCKFORD, IL ONLY)","","36345","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","6096","GEISINGER HEALTH PLAN - RECLAMATION CLAIMS","","75273","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6097","DECENT","","A3326","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","","","","","Commercial/HMO","0.1",,"",,"No",""
"No","6098","MULTICARE CONNECTED CARE","","RP036","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","6104","NOVANET","","06226","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"No",""
"No","6107","TRUSTMARK HEALTH BENEFITS (CORESOURCE) - ECHO","","","","Professional","","N/A, N/A","N/A, N/A","R","No","No","Yes","No","No","No","No","No","4300","","","","Commercial/HMO","",,"",,"",""
"No","6109","BREAST AND CERVICAL CANCER CONTROL PROGRAM (BCCCP)","","D00111","","Professional","MI","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6110","FAMILY CARE MILWAUKEE, WISCONSIN","","60995","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6115","LASALLE MEDICAL GROUP IPA","","NMM02","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6117","INDEPENDENCE MEDICAL GROUP - KERN COUNTY","","IMG01","","Professional","CA","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6119","INDEPENDENCE MEDICAL GROUP - TULARE COUNTY","","IMG02","","Professional","CA","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6122","ADVANTEK BENEFIT ADMINISTRATORS","","83077","E:https://secure.healthx.com/v3app/publicservice/loginv1/login.aspx?bc=a29251dc-4baf-4c0f-9eaa-5fb3348f3323&serviceid=38f7fe30-3fbb-4c85-9139-c21cfa877061","Professional","","N/A, P","N/A, N","R","No","Yes","Yes","Yes","No","No","No","No","4320","","","ADVNT1","Commercial/HMO","",,"",,"",""
"No","6123","OREGON HEALTH MANAGEMENT SERVICES (OHMS)","","OHMS","","Professional","OR","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"","0.0045"
"No","6123","PRIMARY HEALTH OF JOSEPHINE COUNTY CCO","","OHMS","","Professional","OR","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"","0.0045"
"No","6128","GOLD COAST HEALTH PLAN","","77160","E:https://acs-gchp-portals.ikaenterprise.com/provider/providers.aspx","Professional","","N/A, P","N/A, N","R","No","Yes","Yes","Yes","No","No","No","No","4320","","","GDCHP1","Commercial/HMO","",,"",,"",""
"No","6130","PREMIER EYE CARE","","65054","E:https://ae-migration.premiereyecare.net/","Professional","","N/A, P","N/A, N","R","Yes","Yes","Yes","Yes","No","No","No","No","4300","","","PRMEC1","Commercial/HMO","",,"",,"",""
"No","6132","FAMILY CARE SPECIALISTS IPA","","MPM40","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6133","PROVIDRS CARE NETWORK","","48100","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6134","WORLD TRADE CENTER HEALTH PROGRAM/FDNY","","31172","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6134","INNOVANTE BENEFIT ADMINISTRATOR","","31172","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6135","AVESIS TPA","","87098","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6137","WEST SUBURBAN HEALTH PROVIDERS","","80942","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6138","ADVANTICA BENEFITS","","59374","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6141","ADVANTAGE CARE IPA","","ACIPA","","Professional","CA","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6143","PATH ADMINISTRATORS","","25172","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6143","DH EVANS AND ASSOCIATES","","25172","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6145","CSI NETWORK SERVICES","","34186","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","0.1",,"",,"",""
"No","6148","MEDPARTNERS ADMINISTRATIVE SERVICES 412MP","","412MP","E:https://medpartners.vbagateway.com/","Professional","","N/A, P","N/A, N","R","No","Yes","Yes","Yes","No","No","No","No","4320","","","MPASV1","Commercial/HMO","",,"",,"",""
"No","6159","OHIO PPO CONNECT (OPPOC)","","74431","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6160","QUALITY CARE PARTNERS","","89461","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6161","CARE NETWORK/THE SAVANNAH BUSINESS (THE)","","68423","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6162","HEALTH SCOPE BENEFITS (AKA EHC)","","52429","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6163","INTEGRATED MEDICAL SOLUTIONS","","20050","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6165","BRIDGEVIEW","","FS802","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4300","","","","Commercial/HMO","",,"",,"",""
"No","6167","CHRISTUS HEALTH - NUECES COUNTY HOSPITAL DISTRIC  ","","45210","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","0.1",,"",,"",""
"No","6167","CHRISTUS HEALTH PLAN ","","45210","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","0.1",,"",,"",""
"No","6169","UNITED HEALTHCARE (GOLDEN RULE) - JVHL","","KR","","Professional","","N/A, N/A","N/A, N/A","C,R","Yes","Yes","Yes","No","No","No","No","No","4300","","","","Commercial/HMO","",,"",,"",""
"No","6170","CIGNA (HEALTH PARTNERS) - JVHL","","KQ","","Professional","","N/A, N/A","N/A, N/A","C,R","Yes","Yes","Yes","No","No","No","No","No","4300","","","","Commercial/HMO","",,"",,"",""
"No","6177","SAN DIEGO COUNTY RYAN WHITE CARE ACT","","MSO33","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6178","HEALTHCARE PARTNERS OF NEVADA","","20501","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6180","UPMC VISION ADVANTAGE","","25184","E:https://dentaladvantage.upmc.com/phgl-com-login-001.aspx?logintype=iuser&tpatype=1002","","","N/A, P","N/A, N","R","Yes","No","Yes","Yes","No","No","No","No","4300","","","UPMCV1","Commercial/HMO","",,"",,"",""
"No","6181","INDIANA DEPARTMENT OF HEALTH - CHILDRENS HEALTH","","35600","","Professional","","N/A, N/A","N/A, N/A","C,R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","0.1",,"",,"",""
"No","6182","RIGHTCARE SCOTT & WHITE HEALTH PLAN","","74205","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6184","DREYER MEDICAL","","DREYR","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6185","GLOBAL EXCEL MANAGEMENT INC","","GEM01","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6186","VHN","","54138","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6187","NORTHSHORE PHYSICIAN ASSOCIATES","","48026","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6189","LOCKARD AND WILLIAMS","","CB752","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6190","SAN DIEGO COUNTY MEDICAL SERVICES (CMS)","","MSO11","E:https://sdcmspov.com","Professional","","N/A, P","N/A, N"," ","Yes","Yes","No","Yes","No","No","No","No","4320","","","CNTYM1","Commercial/HMO","",,"",,"",""
"No","6195","VERSANT HEALTH","","133741352","E:https://ecp.versanthealth.com/prelogin/login","Professional","","N/A, P","N/A, N","R","No","Yes","Yes","Yes","No","No","No","No","","","","VRSNT1","Commercial/HMO","",,"",,"",""
"No","6198","CENTRAL HEALTH MEDICAL PLAN","","CHCPI","E:http://centralhealthplan.com/","Professional","","N/A, P","N/A, N"," ","Yes","Yes","No","Yes","No","No","No","No","4320","","","CNHLT1","Commercial/HMO","",,"",,"",""
"No","6199","TOTAL PLAN SERVICES","","41202","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6200","COMPLEMENTARY HEALTHCARE PLAN","","CHP01","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6201","REGENCY EMPLOYEE BENEFITS","","38221","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6204","WEISS HEALTH PROVIDERS","","36337","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6207","QUEST BEHAVIORAL HEALTH","","44219","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6208","NAPHCARE","","58182","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4300","","","","Commercial/HMO","",,"",,"",""
"No","6213","MONUMENTAL LIFE INSURANCE COMPANY","","TLINS","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","0.1",,"",,"",""
"No","6213","TRANSAMERICA PREMIER LIFE INSURANCE COMPANY","","TLINS","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","0.1",,"",,"",""
"No","6213","TRANSAMERICA LIFE SPECIALIZED CLAIMS","","TLINS","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","0.1",,"",,"",""
"No","6213","TRANSAMERICA FINANCIAL LIFE INSURANCE COMPANY","","TLINS","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","0.1",,"",,"",""
"No","6219","INLAND FACULTY MEDICAL GROUP","","MVMM1","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4300","","","","Commercial/HMO","",,"",,"",""
"No","6220","ARIZONA PRIORITY CARE PLUS","","27154","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6221","US FAMILY HEALTH PLAN ORTHONET","","13382","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6222","SANTA CLARA COUNTY IPA ACO","","SCACO","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"","0.0045"
"No","6222","SANTA CLARA COUNTY IPA PPO","","SCACO","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"","0.0045"
"No","6224","PHYSICIANS CARE NETWORK - THE POLYCLINIC","","PCN12","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6228","PENNSYLVANIA PACE","","20172","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6229","US VIRGIN ISLANDS BLUE SHIELD","","965","E:https://www.bcbsusvi.com/provider/login.aspx","Professional","VI","N/A, P","N/A, N","C","No","Yes","No","Yes","No","No","No","No","4303","","","BUSVI1","Blue Cross/Blue Shield","",,"",,"",""
"No","6230","FRINGE BENEFIT GROUP - AUSTIN","","45289","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6232","FAMILY PRACTICE MEDICAL GROUP","","10145","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6233","VAYA HEALTH","","13010","","Professional","","N/A, N/A","N/A, N/A","C,R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6237","CENTURY PHO","","36393","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","0.1",,"",,"",""
"No","6238","VALLEY HEALTH PLAN (MEDI-CAL)","","VHP02","","Professional","","N/A, N/A","N/A, N/A","C,R","Yes","Yes","Yes","No","No","No","No","No","4300","","","","Commercial/HMO","",,"",,"",""
"No","6241","CORRECTION HEALTH PARTNERS","","PHPMC","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","0.1",,"",,"",""
"No","6243","OGDEN BENEFITS ADMINISTRATORS","","OBA18","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6244","EMPLOYEE BENEFIT CONCEPTS","","EBC18","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6245","VARIABLE PROTECTION ADMINISTRATORS","","VPA18","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6246","RIVERSIDE MEDICAL CLINIC","","RMC01","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6248","MEDICAL EYE SERVICES, INC.","","MESVISION","E:https://www.mesvision.com/prv/login","Professional","","N/A, P","N/A, N","C","No","Yes","No","Yes","No","No","No","No","4300","","","MESVS1","Commercial/HMO","",,"",,"",""
"No","6254","AMFIRST INSURANCE","","01757","","Professional","","N/A, N/A","N/A, N/A","C,R","Yes","Yes","Yes","No","No","No","No","No","4300","","","","Commercial/HMO","",,"",,"",""
"No","6256","MONITOR LIFE INSURANCE COMPANY","","01759","","Professional","","N/A, N/A","N/A, N/A","C,R","Yes","Yes","Yes","No","No","No","No","No","4300","","","","Commercial/HMO","",,"",,"",""
"No","6258","CDO TECHNOLOGIES","","83028","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6258","MERRILL BOSTROM ASSOCIATES","","83028","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6260","BAPTIST HEALTH SOUTH FLORIDA","","65026","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6263","CENPATICO BEHAVIORAL HEALTH - NEW HAMPSHIRE","","68068","","Professional","","E, N/A","N/A, N/A","R","Yes","Yes","Yes","No","Yes","No","No","No","4320","CENPAT","","","Commercial/HMO","",,"","Real Time","",""
"No","6266","ULTRABENEFITS INC.","","41206","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6270","CLAIMSBRIDGE HIGH PERFORMANCE NETWORK","","11752","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6271","CUSTODY MEDICAL SERVICES","","AMM03","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6272","HISPANIC PHYSICIANS IPA","","HPIPA","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6273","LIFEPATH HOSPICE","","76870","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6274","INLAND HEALTH ORGANIZATION","","IHORG","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6275","BEAVER MEDICAL GROUP","","45967","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6283","UNITEDHEALTHCARE COMMUNITY PLAN OF KANSAS","","96385","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6284","EAST CAROLINA BEHAVIORAL HEALTH","","56089","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6284","EAST CAROLINA BEHAVIORAL HEALTH AKA ECBH","","56089","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6285","GOOD SHEPHERD HOSPICE","","76923","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6289","CRESCENT HEALTH SOLUTIONS","","56213","E:https://connect.healthaxis.com/chsprov.aspx","Professional","","N/A, P","N/A, N"," ","Yes","Yes","No","Yes","No","No","No","No","4320","","","CRESH1","Commercial/HMO","",,"",,"",""
"No","6294","SAGE MINNESOTA DEPARTMENT OF HEALTH","","MNDH1","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4322","","","","Commercial/HMO","",,"",,"",""
"No","6296","RIVER CITY MEDICAL GROUP","","RCMG1","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6404","SANDHILLS COMMUNITY CARE NETWORK","","SHC30","","Professional","","N/A, N/A","N/A, N/A","C,R","No","Yes","Yes","No","No","No","No","No","4300","","","","Commercial/HMO","",,"",,"",""
"No","6404","SANDHILLS CENTER","","SHC30","","Professional","","N/A, N/A","N/A, N/A","C,R","No","Yes","Yes","No","No","No","No","No","4300","","","","Commercial/HMO","",,"",,"",""
"No","6404","GUILFORD CENTER FOR BEHAVIORAL","","SHC30","","Professional","","N/A, N/A","N/A, N/A","C,R","No","Yes","Yes","No","No","No","No","No","4300","","","","Commercial/HMO","",,"",,"",""
"No","6409","GUARDIAN","","64246","","Professional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","6418","ALASKA BREAST AND CERVICAL HEALTH CHECK","","AKDOH","","Professional","","N/A, N/A","N/A, N/A","C","Yes","Yes","No","No","No","No","No","No","4300","","","","Commercial/HMO","",,"",,"",""
"No","6423","REVCLAIMS","","RVC01","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","0.1",,"",,"",""
